"Readout","increase","decrease","convex","concave","sample_id","sample_name","botanical_group","botanical_form","supplier","sample_lot","stock_form","stock_solution_mg/ml"
"ahr-p1_luc",0.521271451208997,1,0.154251520723956,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ahr-p1_via",0.0655900976039344,1,0.0789013186550177,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_luc",0.00407069160632696,1,0.0100246383029063,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-agonist-p1_via",0.624120848824286,1,1,0.210289025537439,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_luc",1,0.414850267377334,1,0.00404152629561182,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"ar-mda-kb2-luc-antagonist-p1_via",0.645071770454175,0.985376968190476,0.985376968190476,0.066109730846989,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ch1",1,0.042743016952468,1,0.0213758953503841,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ch2",0.0158758470187836,1,0.0180289636423197,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_ratio",0.00244719405177024,1,0.00126136985351247,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"are-bla-p1_via",1,0.20062376726555,1,0.0515744337405421,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-agonist-p1_luc",0.00610476647693487,1,0.0867853260385869,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-agonist-p1_via",1,0.182486415221475,1,0.0427177818500765,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-antagonist-p1_luc",0.245626688839535,1,0.245626688839535,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-antagonist-p1_via",1,0.380539844128787,1,0.035366327670815,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-aromatase-p1_luc",1,1,1,1,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"aromatase-er-aromatase-p1_via",1,0.5556207622475,1,0.16291238975446,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"elg1-luc-agonist-p1_luc",0.0271854381100522,1,1,0.334584830383182,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
"elg1-luc-agonist-p1_via",1,0.918766082144258,1,0.918766082144258,"NCGC00372558-01","Gugulipid 2.5% (40 Mesh)","Gum Guggul","extract","Sabinsa Corporation","G100707","mg/ml",10
